Name,Class,Role,Tier,Score,Trend,Win,Role.1,Pick,Ban,KDA,Lost
Aatrox,Fighter,TOP,God,71.25,-3.39,0.0,92.28%,7.01%,5.81%,1.85,100.0
Ahri,Mage,MID,God,77.12,-5.03,0.0,95.23%,10.63%,6.47%,2.63,100.0
Akali,Assassin,MID,A,55.37,-5.08,0.0,78.45%,5.99%,8.10%,2.3,100.0
Akali,Assassin,TOP,C,36.35,-0.6,0.0,20.39%,1.45%,8.10%,2.06,100.0
Akshan,Marksman,MID,B,47.25,-1.5,0.0,69.32%,2.88%,5.94%,2.16,100.0
Akshan,Marksman,TOP,C,37.24,0.83,0.0,22.48%,0.96%,5.94%,1.89,100.0
Alistar,Tank,SUPPORT,A,54.33,4.6,0.0,95.57%,4.58%,1.43%,2.51,100.0
Amumu,Tank,JUNGLE,B,44.96,-0.85,0.0,66.72%,2.86%,2.10%,2.64,100.0
Amumu,Tank,SUPPORT,B,40.1,-1.92,0.0,31.76%,1.10%,2.10%,2.08,100.0
Anivia,Mage,MID,A,50.85,-1.84,0.0,79.48%,2.22%,2.59%,2.84,100.0
Anivia,Mage,SUPPORT,D,24.49,-5.76,0.0,12.07%,0.29%,2.59%,2.07,100.0
Annie,Mage,MID,A,48.73,-8.33,0.0,79.68%,2.93%,2.28%,2.34,100.0
Annie,Mage,SUPPORT,C,36.74,-3.16,0.0,15.84%,0.60%,2.28%,2.27,100.0
Aphelios,Marksman,ADC,B,44.69,-23.49,0.0,97.70%,9.01%,3.11%,1.95,100.0
Ashe,Marksman,ADC,S,67.31,4.14,0.0,85.21%,15.12%,5.70%,2.45,100.0
Ashe,Marksman,SUPPORT,C,37.02,1.58,0.0,12.55%,2.14%,5.70%,2.06,100.0
Aurelion Sol,Mage,MID,A,54.0,0.48,0.0,87.38%,3.50%,5.20%,2.64,100.0
Azir,Mage,MID,A,47.51,0.27,0.0,92.08%,4.37%,1.15%,2.09,100.0
Bard,Support,SUPPORT,B,43.6,-2.68,0.0,95.39%,2.14%,0.31%,2.88,100.0
Bel'Veth,Fighter,JUNGLE,A,49.69,1.57,0.0,89.84%,4.26%,6.09%,2.41,100.0
Blitzcrank,Tank,SUPPORT,God,79.03,4.56,0.0,97.14%,8.78%,23.80%,2.37,100.0
Brand,Mage,SUPPORT,B,41.62,-3.46,0.0,72.74%,2.96%,3.38%,1.75,100.0
Brand,Mage,MID,B,40.08,5.34,0.0,19.47%,0.72%,3.38%,2.06,100.0
Braum,Support,SUPPORT,B,47.38,0.89,0.0,98.48%,3.10%,0.53%,2.79,100.0
Caitlyn,Marksman,ADC,B,46.61,-2.93,0.0,94.39%,8.77%,6.08%,2.12,100.0
Camille,Fighter,TOP,A,50.66,-0.83,0.0,92.99%,3.26%,1.75%,1.94,100.0
Cassiopeia,Mage,MID,B,47.36,-1.15,0.0,73.55%,2.30%,2.34%,2.16,100.0
Cassiopeia,Mage,TOP,C,37.99,-1.37,0.0,16.69%,0.53%,2.34%,1.95,100.0
Cho'Gath,Tank,TOP,A,51.89,-1.43,0.0,65.85%,3.06%,1.32%,2.07,100.0
Cho'Gath,Tank,MID,B,43.75,0.1,0.0,18.54%,0.76%,1.32%,2.41,100.0
Corki,Marksman,MID,C,37.15,-0.31,0.0,86.30%,0.88%,0.18%,2.19,100.0
Darius,Fighter,TOP,God,89.77,2.57,0.0,92.99%,8.46%,19.04%,1.8,100.0
Diana,Fighter,MID,B,40.75,-2.3,0.0,24.93%,1.18%,1.35%,2.13,100.0
Diana,Fighter,JUNGLE,C,39.37,-2.64,0.0,72.61%,3.35%,1.35%,2.38,100.0
Dr. Mundo,Marksman,TOP,A,50.46,-2.71,0.0,85.89%,2.78%,2.61%,1.87,100.0
Draven,Fighter,ADC,A,48.93,-0.17,0.0,95.95%,6.31%,21.39%,2.14,100.0
Ekko,Assassin,JUNGLE,A,53.28,2.72,0.0,63.13%,4.83%,3.14%,2.68,100.0
Ekko,Assassin,MID,B,46.68,0.75,0.0,34.00%,2.52%,3.14%,2.24,100.0
Elise,Mage,JUNGLE,C,36.51,1.0,0.0,92.93%,1.98%,1.72%,2.71,100.0
Evelynn,Assassin,JUNGLE,S,57.3,2.59,0.0,97.95%,4.67%,9.69%,2.95,100.0
Ezreal,Marksman,ADC,God,72.99,-19.84,0.0,87.80%,19.96%,8.96%,2.49,100.0
Ezreal,Marksman,MID,D,33.67,-7.35,0.0,10.31%,2.37%,8.96%,1.98,100.0
Fiddlesticks,Mage,JUNGLE,A,48.92,0.28,0.0,79.76%,3.48%,3.61%,2.75,100.0
Fiddlesticks,Mage,SUPPORT,C,37.61,-0.4,0.0,12.24%,0.50%,3.53%,2.03,100.0
Fiora,Fighter,TOP,S,69.54,0.38,0.0,97.48%,5.55%,13.56%,1.69,100.0
Fizz,Assassin,MID,S,62.51,1.61,0.0,95.00%,5.92%,9.40%,2.39,100.0
Galio,Tank,MID,B,46.34,0.19,0.0,75.81%,1.67%,0.33%,2.62,100.0
Galio,Tank,SUPPORT,C,35.96,0.01,0.0,19.28%,0.38%,0.33%,2.33,100.0
Gangplank,Fighter,TOP,S,58.79,0.16,0.0,85.39%,4.78%,4.41%,1.95,100.0
Gangplank,Fighter,MID,B,44.29,1.67,0.0,13.06%,0.76%,4.41%,2.25,100.0
Garen,Fighter,TOP,S,70.64,0.3,0.0,86.57%,6.36%,2.43%,1.99,100.0
Gnar,Fighter,TOP,B,40.81,-1.82,0.0,95.79%,2.90%,0.57%,1.8,100.0
Gragas,Fighter,JUNGLE,B,45.62,0.69,0.0,49.51%,3.81%,3.23%,2.8,100.0
Gragas,Fighter,TOP,C,38.22,-3.15,0.0,33.32%,2.67%,3.23%,1.96,100.0
Gragas,Fighter,MID,C,36.71,-1.32,0.0,10.62%,0.80%,3.23%,2.26,100.0
Graves,Marksman,JUNGLE,God,72.71,1.85,0.0,91.21%,8.58%,4.98%,2.65,100.0
Gwen,Fighter,TOP,A,53.66,2.4,0.0,89.55%,4.22%,2.41%,1.7,100.0
Hecarim,Fighter,JUNGLE,S,62.04,4.1,0.0,99.16%,6.21%,11.30%,2.65,100.0
Heimerdinger,Mage,MID,B,44.22,0.5,0.0,22.49%,0.78%,1.53%,2.01,100.0
Heimerdinger,Mage,SUPPORT,C,39.84,-0.65,0.0,48.93%,1.57%,1.53%,1.92,100.0
Heimerdinger,Mage,TOP,D,33.45,-0.59,0.0,19.31%,0.66%,1.53%,1.73,100.0
Illaoi,Fighter,TOP,S,63.63,3.5,0.0,94.01%,4.89%,12.19%,1.45,100.0
Irelia,Fighter,TOP,A,54.9,0.85,0.0,51.43%,4.14%,11.20%,1.66,100.0
Irelia,Fighter,MID,A,49.15,1.54,0.0,46.91%,3.79%,11.20%,1.82,100.0
Ivern,Support,JUNGLE,A,51.46,-8.06,0.0,74.38%,2.99%,5.29%,3.44,100.0
Ivern,Support,SUPPORT,D,33.65,-4.87,0.0,11.09%,0.43%,5.29%,2.5,100.0
Janna,Support,SUPPORT,S,61.02,2.58,0.0,98.81%,4.92%,1.69%,3.2,100.0
Jarvan IV,Tank,JUNGLE,S,64.68,1.7,0.0,92.12%,6.06%,2.47%,3.27,100.0
Jax,Fighter,TOP,God,92.58,-0.44,0.0,85.77%,8.51%,17.43%,1.71,100.0
Jax,Fighter,JUNGLE,D,32.93,4.29,0.0,11.25%,1.10%,17.43%,2.14,100.0
Jayce,Fighter,TOP,A,54.24,-1.01,0.0,66.06%,4.29%,2.77%,1.82,100.0
Jayce,Fighter,MID,B,45.75,0.7,0.0,31.85%,2.10%,2.77%,2.16,100.0
Jhin,Marksman,ADC,S,59.38,-16.54,0.0,95.81%,11.46%,4.05%,2.82,100.0
Jinx,Marksman,ADC,A,48.29,-4.48,0.0,98.11%,8.47%,1.44%,2.24,100.0
K'Sante,Fighter,TOP,S,59.69,-2.15,0.0,87.99%,6.48%,5.83%,1.82,100.0
Kai'Sa,Marksman,ADC,God,92.98,3.24,0.0,91.68%,28.67%,11.96%,2.48,100.0
Kalista,Marksman,ADC,C,34.73,6.99,0.0,88.59%,2.28%,0.68%,2.12,100.0
Karma,Mage,SUPPORT,A,50.43,-0.38,0.0,89.34%,5.10%,0.93%,2.55,100.0
Karthus,Mage,ADC,B,46.76,6.48,0.0,34.38%,1.84%,5.94%,2.27,100.0
Karthus,Mage,MID,B,42.52,3.23,0.0,10.07%,0.47%,5.94%,2.25,100.0
Karthus,Mage,JUNGLE,C,38.01,-1.81,0.0,48.67%,2.31%,5.94%,2.46,100.0
Kassadin,Assassin,MID,B,45.87,-1.12,0.0,95.52%,1.92%,3.09%,2.5,100.0
